index,objectType,color
0,empty,172_47_117
1,Wall,192_67_251
2,Ceiling,195_103_9
3,Floor,211_21_242
4,Ground,36_87_70
5,Box,216_88_140
6,stairs,58_193_230
7,door,39_87_174
8,window,88_81_165
9,chair,25_77_72
10,wardrobe_cabinet,9_148_115
11,table,208_243_19
12,shelving,254_79_175
13,indoor_lamp,192_82_99
14,sofa,216_177_24
15,kitchen_cabinet,29_147_147
16,desk,142_167_32
17,stand,193_9_185
18,bed,127_32_31
19,tv_stand,202_244_15
20,toy,163_254_20
21,ottoman,114_183_28
22,dresser,34_128_128
23,sink,164_53_133
24,plant,38_232_244
25,kitchenware,17_79_132
26,kitchen_appliance,105_42_186
27,workplace,31_120_1
28,hanging_kitchen_cabinet,65_231_169
29,mirror,57_35_102
30,vase,119_11_174
31,bench_chair,82_91_128
32,fireplace,142_99_53
33,kitchen_set,140_121_17
34,household_appliance,84_203_68
35,person,6_196_47
36,outdoor_seating,127_244_13
37,curtain,204_100_18
38,cart,232_78_143
39,hanger,148_227_18
40,fence,23_207_141
41,bathtub,117_85_48
42,toilet,49_69_169
43,shoes_cabinet,163_192_95
44,pet,197_94_0
45,bathroom_stuff,113_178_36
46,partition,162_48_93
47,trinket,131_98_42
48,music,205_112_23
49,gym_equipment,149_201_12
50,table_and_chair,0_138_114
51,dressing_table,43_186_127
52,clock,23_187_130
53,candle,121_98_62
54,vehicle,163_222_12
55,outdoor_lamp,195_82_174
56,television,227_148_20
57,shower,50_155_14
58,picture_frame,41_58_193
59,recreation,36_10_86
60,rug,43_104_11
61,pool,2_51_80
62,pillow,32_182_128
63,trash_can,38_19_174
64,storage_bench,42_115_184
65,outdoor_cover,188_232_77
66,grill,30_24_125
67,outdoor_spring,2_3_94
68,garage_door,226_107_13
69,fan,112_40_72
70,column,19_95_72
71,books,154_194_24
72,arch,180_67_236
73,wood_board,61_14_96
74,switch,4_195_237
75,safe,139_252_86
76,heater,205_121_10
77,decoration,75_184_16
78,computer,152_157_14
79,air_conditioner,110_25_208
80,whiteboard,188_121_11
81,tripod,117_189_83
82,shoes,161_104_16
83,roof,228_251_25
84,mailbox,121_70_213
85,magazines,31_13_71
86,headstone,184_152_79
87,drinkbar,41_18_40
88,coffin,182_207_11
89,cloth,166_111_93
90,ATM,249_129_22
